iter	Passed	Remaining
0	132	132827
1	135	67477
2	137	45556
3	138	34470
4	139	27851
5	141	23410
6	142	20251
7	144	17902
8	145	16050
9	147	14561
10	149	13452
11	151	12458
12	152	11602
13	154	10856
14	155	10202
15	156	9638
16	158	9143
17	159	8695
18	160	8293
19	162	7942
20	164	7652
21	165	7370
22	167	7104
23	168	6854
24	169	6622
25	171	6427
26	172	6231
27	174	6050
28	176	5906
29	178	5765
30	179	5619
31	181	5494
32	182	5358
33	184	5242
34	187	5162
35	188	5054
36	189	4930
37	190	4832
38	192	4749
39	194	4663
40	195	4578
41	197	4510
42	199	4429
43	200	4356
44	202	4290
45	203	4222
46	205	4158
47	207	4107
48	208	4050
49	210	3991
50	211	3933
51	212	3879
52	214	3825
53	215	3778
54	216	3727
55	218	3678
56	219	3637
57	222	3606
58	223	3562
59	224	3519
60	226	3479
61	227	3440
62	228	3401
63	230	3365
64	231	3328
65	232	3296
66	234	3266
67	236	3238
68	237	3208
69	239	3176
70	240	3147
71	242	3119
72	243	3088
73	244	3058
74	245	3032
75	247	3011
76	249	2989
77	250	2964
78	252	2939
79	253	2916
80	254	2890
81	256	2866
82	257	2841
83	258	2818
84	259	2798
85	262	2787
86	263	2768
87	265	2749
88	266	2729
89	267	2709
90	269	2689
91	270	2669
92	271	2649
93	272	2630
94	274	2612
95	276	2604
96	278	2588
97	279	2571
98	280	2555
99	281	2537
100	283	2520
101	284	2503
102	285	2486
103	286	2471
104	288	2462
105	291	2454
106	292	2438
107	293	2423
108	294	2408
109	295	2393
110	296	2377
111	298	2363
112	299	2349
113	300	2335
114	302	2325
115	303	2314
116	305	2303
117	306	2290
118	307	2278
119	308	2265
120	310	2252
121	311	2240
122	312	2227
123	313	2215
124	314	2204
125	316	2195
126	318	2188
127	320	2180
128	321	2169
129	322	2158
130	323	2147
131	324	2135
132	326	2125
133	327	2114
134	328	2104
135	330	2097
136	331	2089
137	333	2082
138	334	2074
139	336	2065
140	337	2055
141	338	2046
142	339	2036
143	341	2028
144	342	2019
145	343	2011
146	345	2006
147	347	1999
148	348	1991
149	349	1982
150	350	1973
151	352	1964
152	353	1955
153	354	1948
154	356	1942
155	358	1938
156	360	1934
157	362	1929
158	363	1923
159	365	1918
